lesson_id,question_id,type,difficulty,skill_tag,question,choices,correct_answer,explanation
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q01,mc,easy,MATH.G3.OA.EQUAL_GROUPS,Which expression matches 6 + 6 + 6 + 6?,"[""6 × 6"", ""4 × 6"", ""6 + 4"", ""4 + 6""]",4 × 6,There are four equal groups of 6.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q02,mc,easy,MATH.G3.OA.EQUAL_GROUPS,What does 3 × 8 mean in this lesson model?,"[""3 plus 8"", ""8 minus 3"", ""3 groups of 8"", ""3 groups and 3 more""]",3 groups of 8,Multiplication describes groups of equal size.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q03,short,medium,MATH.G3.WORD_PROBLEM,There are 5 bags with 4 marbles in each. Write a multiplication equation.,,5 × 4 = 20,There are 5 equal groups of 4.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q04,short,easy,MATH.G3.REPEATED_ADDITION,Write repeated addition for 2 × 7.,,7 + 7,2 groups of 7 means add 7 twice.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q05,mc,easy,MATH.G3.MODELS,Which model shows equal groups?,"[""2, 2, 2, 2"", ""2, 3, 2, 4"", ""1, 2, 3"", ""5, 5, 6""]","2, 2, 2, 2",All groups have the same number.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q06,explain,medium,THINK.EXPLAIN,Explain why 4 × 3 is not the same idea as 4 + 3.,,4 × 3 means 4 groups of 3; 4 + 3 joins 4 and 3 one time.,Look for group-based reasoning.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q07,error,medium,MISTAKE.ADD_FACTORS,A student solves 3 × 5 by doing 3 + 5 = 8. Find and fix the error.,,"They added the factors. Correct: 5 + 5 + 5 = 15, so 3 × 5 = 15.",This targets the common misconception.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q08,apply,medium,MATH.G3.ARRAYS,A toy shelf has 4 rows with 6 cars in each row. How many cars?,,24 cars,4 groups of 6 = 24.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q09,mc,medium,MATH.G3.CONTEXT,Which situation can be solved with 3 × 4?,"[""3 pencils and 4 erasers"", ""3 boxes with 4 pencils in each"", ""3 pencils taken from 4 pencils"", ""3 pencils added to 4 boxes""]",3 boxes with 4 pencils in each,It describes 3 equal groups of 4.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q10,short,medium,CREATE.CONTEXT,Create a different story for 2 × 9.,,Example: 2 plates with 9 cookies on each plate.,Any story with 2 equal groups of 9 is valid.
