category,check,status,detail
"docs","AGENTS.md","pass","present"
"docs","PROJECT_SOURCE_OF_TRUTH.md","pass","present"
"docs","MVP_VERTICAL_SLICE_SPEC.md","pass","present"
"docs","docs/15_MVP_SCOPE.md","pass","present"
"docs","docs/55_MVP_BACKLOG_AND_TASK_BREAKDOWN.md","pass","present"
"docs","docs/mvp-vertical-slice/10_ACCEPTANCE_TESTS.md","pass","present"
"source-of-truth","Foundation Academy","pass","found"
"source-of-truth","Bridge Academy","pass","found"
"source-of-truth","Scholar Academy","pass","found"
"source-of-truth","Teach → Break Down","pass","found"
"source-of-truth","Memory Vault","pass","found"
"source-of-truth","Needs Intervention","pass","found"
"lesson-player","16 official sections","pass","found 16"
"memory-vault","gradeMemoryVaultAnswer","pass","implemented"
"memory-vault","applyMemoryVaultReviewSession","pass","implemented"
"memory-vault","getReviewableMemoryVaultItems","pass","implemented"
"memory-vault","updateRetentionStrength","pass","implemented"
"memory-vault","review-session UI","pass","present"
"vertical-slice","memory-vault screen","pass","wired"
"vertical-slice","thinking-systems screen","pass","wired"
"vertical-slice","review session summaries","pass","tracked"
"content","16 seed lessons","pass","found 16"
"memory-vault","canonical schedule","pass","all Memory Vault schedules match"
"thinking-systems","Mistake Journal","pass","implemented in hub/components"
"thinking-systems","Reteach","pass","implemented in hub/components"
"thinking-systems","Challenge","pass","implemented in hub/components"
"thinking-systems","Problem-Solving Lab","pass","implemented in hub/components"
"thinking-systems","Evidence Room","pass","implemented in hub/components"
"thinking-systems","Interpretation Lens","pass","implemented in hub/components"
"thinking-systems","Discussion Arena","pass","implemented in hub/components"
"thinking-systems","Learning Planner","pass","implemented in hub/components"
"thinking-systems","Systems Mapper","pass","implemented in hub/components"
"thinking-systems","Portfolio","pass","implemented in hub/components"
"v6-docs","docs/thinking-systems/00_THINKING_SYSTEMS_DEEP_DIVE_INDEX.md","pass","present"
"v6-docs","docs/thinking-systems/01_MISTAKE_JOURNAL_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/02_RETEACH_INTERVENTION_ENGINE_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/03_CHALLENGE_ENRICHMENT_ENGINE_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/04_PROBLEM_SOLVING_LAB_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/05_EVIDENCE_ROOM_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/06_INTERPRETATION_LENS_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/07_DISCUSSION_ARENA_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/08_LEARNING_PLANNER_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/09_SYSTEMS_MAPPER_DEEP_DIVE.md","pass","present"
"v6-docs","docs/thinking-systems/10_PORTFOLIO_PROJECT_EVIDENCE_SYSTEM_DEEP_DIVE.md","pass","present"
"v6-docs","docs/77_THINKING_SYSTEMS_V6_AUDIT_AND_IMPROVEMENT_PLAN.md","pass","present"
"v6-docs","docs/78_THINKING_SYSTEMS_DATA_CONTRACTS.md","pass","present"
"v6-docs","docs/79_THINKING_SYSTEMS_QA_AND_ACCEPTANCE_TESTS.md","pass","present"
"v6-components","MistakeJournalPanel.tsx","pass","present"
"v6-components","ReteachInterventionPanel.tsx","pass","present"
"v6-components","ChallengeEnrichmentPanel.tsx","pass","present"
"v6-components","ProblemSolvingLabPanel.tsx","pass","present"
"v6-components","EvidenceRoomPanel.tsx","pass","present"
"v6-components","InterpretationLensPanel.tsx","pass","present"
"v6-components","DiscussionArenaPanel.tsx","pass","present"
"v6-components","LearningPlannerPanel.tsx","pass","present"
"v6-components","SystemsMapperPanel.tsx","pass","present"
"v6-components","PortfolioEvidencePanel.tsx","pass","present"
"v6-contracts","ThinkingSystemDefinition","pass","typed"
"v6-contracts","ThinkingSystemRuntimeStatus","pass","typed"
"v6-contracts","MistakePatternSummary","pass","typed"
"v6-contracts","successCriteria","pass","typed"
"v6-contracts","safetyBoundary","pass","typed"
"v7-persistence","src/types/persistence.ts","pass","present"
"v7-persistence","src/features/persistence/persistenceKeys.ts","pass","present"
"v7-persistence","src/features/persistence/localLearningPersistence.ts","pass","present"
"v7-persistence","src/features/persistence/usePersistentLearningState.ts","pass","present"
"v7-persistence","src/features/persistence/components/PersistenceStatusPanel.tsx","pass","present"
"v7-persistence","docs/80_PERSISTENCE_ARCHITECTURE.md","pass","present"
"v7-persistence","docs/81_PERSISTENCE_DATA_CONTRACTS.md","pass","present"
"v7-persistence","docs/82_LOCAL_STORAGE_TO_DATABASE_MIGRATION_PLAN.md","pass","present"
"v7-persistence","docs/83_PERSISTENCE_QA_AND_ACCEPTANCE_TESTS.md","pass","present"
"v7-persistence-contracts","LearningPersistenceState","pass","typed"
"v7-persistence-contracts","QuizAttemptRecord","pass","typed"
"v7-persistence-contracts","PersistedLearningPlannerEntry","pass","typed"
"v7-persistence-contracts","PersistedPortfolioEvidenceRecord","pass","typed"
"v7-persistence-hook","localStorage","pass","implemented"
"v7-persistence-hook","buildStudentPersistenceKey","pass","implemented"
"v7-persistence-hook","resetPersistence","pass","implemented"
"v7-persistence-hook","isHydrated","pass","implemented"
"v7-persistence-wiring","usePersistentLearningState","pass","wired"
"v7-persistence-wiring","PersistenceStatusPanel","pass","wired"
"v7-persistence-wiring","quizAttemptHistory","pass","wired"
"v7-persistence-wiring","mistakeJournalEntries","pass","wired"
"v7-persistence-wiring","learningPlannerEntries","pass","wired"
"v7-persistence-wiring","portfolioEvidenceItems","pass","wired"
