lesson_id,universal_flow_complete,quiz_items>=10,memory_items>=5,reteach_complete,challenge_complete,accessibility_notes,safety_notes,implementation_notes,v2_status
FA-G3-MATH-U1-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
FA-G3-ELA-U2-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
FA-G3-SCI-U1-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
FA-G3-SS-U1-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
BA-G6-MATH-U1-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
BA-G6-ELA-U2-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
BA-G6-SCI-U2-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
BA-G6-SS-U2-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
SA-G9-ALG-U1-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
SA-G9-ENG-U3-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
SA-G9-BIO-U2-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
SA-G9-WH-U2-L1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,v2 polished
