lesson_id,question_id,correct_answer,explanation,skill_tag,difficulty
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q01,4 × 6,There are four equal groups of 6.,MATH.G3.OA.EQUAL_GROUPS,easy
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q02,3 groups of 8,Multiplication describes groups of equal size.,MATH.G3.OA.EQUAL_GROUPS,easy
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q03,5 × 4 = 20,There are 5 equal groups of 4.,MATH.G3.WORD_PROBLEM,medium
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q04,7 + 7,2 groups of 7 means add 7 twice.,MATH.G3.REPEATED_ADDITION,easy
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q05,"2, 2, 2, 2",All groups have the same number.,MATH.G3.MODELS,easy
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q06,4 × 3 means 4 groups of 3; 4 + 3 joins 4 and 3 one time.,Look for group-based reasoning.,THINK.EXPLAIN,medium
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q07,"They added the factors. Correct: 5 + 5 + 5 = 15, so 3 × 5 = 15.",This targets the common misconception.,MISTAKE.ADD_FACTORS,medium
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q08,24 cars,4 groups of 6 = 24.,MATH.G3.ARRAYS,medium
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q09,3 boxes with 4 pencils in each,It describes 3 equal groups of 4.,MATH.G3.CONTEXT,medium
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q10,Example: 2 plates with 9 cookies on each plate.,Any story with 2 equal groups of 9 is valid.,CREATE.CONTEXT,medium
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q11,Notice the groups are not equal,Multiplication needs equal groups.,CRITICAL.CHECK_MODEL,hard
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q12,"It shows equal rows and columns, so you can count or skip-count the total.",Arrays make the group structure visible.,EVIDENCE.MODEL,medium
