path,type,bytes,lines,area
AGENTS.md,md,13732,736,AGENTS.md
CANONICAL_NAMING_CONVENTIONS.md,md,2162,95,CANONICAL_NAMING_CONVENTIONS.md
CODEX_FIRST_BUILD_PROMPT.md,md,1721,31,CODEX_FIRST_BUILD_PROMPT.md
CODEX_MVP_MODULE_BUILDOUT_PROMPT.md,md,2489,71,CODEX_MVP_MODULE_BUILDOUT_PROMPT.md
DOC_COMPLETION_MATRIX.csv,csv,7731,61,DOC_COMPLETION_MATRIX.csv
FIRST_DEMO_SCRIPT.md,md,918,36,FIRST_DEMO_SCRIPT.md
IMPROVEMENT_SUMMARY.md,md,1187,35,IMPROVEMENT_SUMMARY.md
LESSON_IMPORT_PLAN.md,md,980,46,LESSON_IMPORT_PLAN.md
LESSON_VALIDATION_RULES.md,md,1072,44,LESSON_VALIDATION_RULES.md
MANIFEST.md,md,3989,119,MANIFEST.md
MVP_VERTICAL_SLICE_SPEC.md,md,2087,116,MVP_VERTICAL_SLICE_SPEC.md
PROJECT_SOURCE_OF_TRUTH.md,md,5609,184,PROJECT_SOURCE_OF_TRUTH.md
README.md,md,2096,74,README.md
REPO_SETUP_COMMANDS.md,md,738,39,REPO_SETUP_COMMANDS.md
content/bridge-academy/grade-6/computer-science/BA-G6-CS-U1-L1_DEBUGGING_AN_ALGORITHM.json,json,21577,534,content
content/bridge-academy/grade-6/ela/BA-G6-ELA-U2-L1_THEME_AND_TEXT_EVIDENCE.json,json,27144,636,content
content/bridge-academy/grade-6/math/BA-G6-MATH-U1-L1_UNDERSTANDING_RATIOS.json,json,26333,638,content
content/bridge-academy/grade-6/science/BA-G6-SCI-U2-L1_WATER_CYCLE_SYSTEMS.json,json,26980,646,content
content/bridge-academy/grade-6/social-studies/BA-G6-SS-U2-L1_ANCIENT_CIVILIZATIONS_AND_GEOGRAPHY.json,json,27480,641,content
content/foundation-academy/grade-3/ela/FA-G3-ELA-U2-L1_FINDING_THE_MAIN_IDEA.json,json,27922,643,content
content/foundation-academy/grade-3/math/FA-G3-MATH-U1-L1_MULTIPLICATION_AS_EQUAL_GROUPS.json,json,26537,637,content
content/foundation-academy/grade-3/science/FA-G3-SCI-U1-L1_PLANT_LIFE_CYCLES.json,json,26428,644,content
content/foundation-academy/grade-3/social-studies/FA-G3-SS-U1-L1_COMMUNITIES_AND_ROLES.json,json,26826,640,content
content/foundation-academy/grade-3/writing/FA-G3-WR-U1-L1_BUILDING_A_STRONG_PARAGRAPH.json,json,22653,533,content
content/scholar-academy/grade-9/ela/SA-G9-ENG-U3-L1_CLAIM_EVIDENCE_AND_REASONING.json,json,27409,642,content
content/scholar-academy/grade-9/financial-literacy/SA-G9-FIN-U1-L1_BUDGETING_FROM_FIRST_PRINCIPLES.json,json,21831,539,content
content/scholar-academy/grade-9/math/SA-G9-ALG-U1-L1_VARIABLES_AND_EXPRESSIONS.json,json,25877,641,content
content/scholar-academy/grade-9/science/SA-G9-BIO-U2-L1_CELLS_AS_SYSTEMS.json,json,26877,645,content
content/scholar-academy/grade-9/social-studies/SA-G9-WH-U2-L1_EARLY_RIVER_VALLEY_CIVILIZATIONS.json,json,28552,646,content
content/scholar-academy/grade-9/study-skills/SA-G9-STUDY-U1-L1_PLANNING_MONITORING_AND_EVALUATING_LEARNING.json,json,22281,533,content
curriculum/01_PLATFORM_CURRICULUM_OVERVIEW.md,md,6912,171,curriculum
curriculum/02_ACADEMY_SYLLABI_INDEX.md,md,7554,205,curriculum
curriculum/03_K12_SCOPE_AND_SEQUENCE.md,md,8162,129,curriculum
curriculum/04_SUBJECT_SCOPE_AND_SEQUENCE.md,md,7527,165,curriculum
curriculum/05_GRADE_LEVEL_SYLLABI_INDEX.md,md,5811,152,curriculum
curriculum/06_COURSE_SYLLABI_INDEX.md,md,5430,179,curriculum
curriculum/07_UNIT_MAPS_INDEX.md,md,7048,180,curriculum
curriculum/08_LESSON_INVENTORY.md,md,6930,152,curriculum
curriculum/09_ASSESSMENT_MAP.md,md,5554,141,curriculum
curriculum/10_PROJECT_AND_CAPSTONE_MAP.md,md,5353,129,curriculum
curriculum/11_MEMORY_VAULT_REVIEW_MAP.md,md,5509,148,curriculum
curriculum/12_THINKING_SKILLS_ACTIVITY_MAP.md,md,5483,135,curriculum
curriculum/13_STANDARDS_ALIGNMENT_MAP.md,md,4694,139,curriculum
curriculum/14_VOCABULARY_AND_CONCEPT_BANK.md,md,5121,139,curriculum
curriculum/15_QUESTION_BANK_INDEX.md,md,5333,152,curriculum
curriculum/16_RUBRIC_LIBRARY_INDEX.md,md,4798,129,curriculum
curriculum/17_RETEACH_AND_INTERVENTION_MAP.md,md,5082,140,curriculum
curriculum/18_CHALLENGE_AND_ENRICHMENT_MAP.md,md,4490,123,curriculum
curriculum/19_PARENT_TEACHER_GUIDE_INDEX.md,md,4633,126,curriculum
curriculum/20_MVP_CONTENT_PRODUCTION_PLAN.md,md,6801,169,curriculum
curriculum/IMPROVEMENT_REPORT.md,md,3641,30,curriculum
curriculum/MANIFEST.md,md,1747,24,curriculum
curriculum/README.md,md,1860,46,curriculum
curriculum/seed-lesson-outlines/BA-G6-ELA-U2-L1_THEME_AND_TEXT_EVIDENCE.md,md,3191,124,curriculum
curriculum/seed-lesson-outlines/BA-G6-MATH-U1-L1_UNDERSTANDING_RATIOS.md,md,3233,124,curriculum
curriculum/seed-lesson-outlines/BA-G6-SCI-U2-L1_WATER_CYCLE_SYSTEMS.md,md,3213,124,curriculum
curriculum/seed-lesson-outlines/BA-G6-SS-U2-L1_ANCIENT_CIVILIZATIONS_AND_GEOGRAPHY.md,md,3276,124,curriculum
curriculum/seed-lesson-outlines/FA-G3-ELA-U2-L1_FINDING_THE_MAIN_IDEA.md,md,3213,124,curriculum
curriculum/seed-lesson-outlines/FA-G3-MATH-U1-L1_MULTIPLICATION_AS_EQUAL_GROUPS.md,md,3285,124,curriculum
curriculum/seed-lesson-outlines/FA-G3-SCI-U1-L1_PLANT_LIFE_CYCLES.md,md,3210,124,curriculum
curriculum/seed-lesson-outlines/FA-G3-SS-U1-L1_COMMUNITIES_AND_ROLES.md,md,3207,124,curriculum
curriculum/seed-lesson-outlines/SA-G9-ALG-U1-L1_VARIABLES_AND_EXPRESSIONS.md,md,3268,124,curriculum
curriculum/seed-lesson-outlines/SA-G9-BIO-U2-L1_CELLS_AS_SYSTEMS.md,md,3168,124,curriculum
"curriculum/seed-lesson-outlines/SA-G9-ENG-U3-L1_CLAIM,_EVIDENCE,_AND_REASONING.md",md,3253,124,curriculum
curriculum/seed-lesson-outlines/SA-G9-WH-U2-L1_EARLY_RIVER_VALLEY_CIVILIZATIONS.md,md,3303,124,curriculum
deprecated-source-packs/complete_docs_v2/MANIFEST.md,md,2445,71,deprecated-source-packs
deprecated-source-packs/complete_docs_v2/README.md,md,3362,135,deprecated-source-packs
deprecated-source-packs/curriculum_inventory_v2/MANIFEST.md,md,1747,24,deprecated-source-packs
deprecated-source-packs/curriculum_inventory_v2/README.md,md,1860,46,deprecated-source-packs
deprecated-source-packs/seed_lessons_v2/MANIFEST.md,md,2053,39,deprecated-source-packs
deprecated-source-packs/seed_lessons_v2/README.md,md,1502,43,deprecated-source-packs
deprecated-source-packs/supplemental_docs/MANIFEST.md,md,2779,42,deprecated-source-packs
docs/01_PRODUCT_BIBLE.md,md,9272,340,docs
docs/02_CORE_PILLARS.md,md,11173,505,docs
docs/03_LEARNING_SCIENCE_CORE.md,md,9265,342,docs
