lesson_id,challenge_task,unlock_rule
FA-G3-MATH-U1-L1,Create two different arrays that both show 12. Explain why both work.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-MATH-U1-L1,"Write a word problem for 6 × 4 and solve it using repeated addition, an array, and multiplication.",Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-MATH-U1-L1,Compare 3 × 4 and 4 × 3. Explain what changes in the story and what stays the same.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-ELA-U2-L1,Compare two possible main ideas and rank which one is more precise.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-ELA-U2-L1,Write a 3-sentence summary using one main idea and two key details.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-ELA-U2-L1,Find a detail that does not belong and explain why it weakens the summary.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-SCI-U1-L1,Compare a plant life cycle to an animal life cycle. What is similar and different?,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-SCI-U1-L1,Design an investigation to observe seed germination over one week.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-SCI-U1-L1,Explain how a missing pollinator could affect seed production.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-SS-U1-L1,Design a community map that includes at least six roles and explain how each meets a need.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-SS-U1-L1,Choose a community problem and propose a solution using three roles.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
FA-G3-SS-U1-L1,Compare a classroom community to a town community.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-MATH-U1-L1,Create a ratio table for 3:7 up to five rows and explain the pattern.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-MATH-U1-L1,Compare part-to-part and part-to-whole ratios for the same scenario.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-MATH-U1-L1,Use a double number line to solve a recipe scaling problem.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-ELA-U2-L1,Compare two possible themes and defend the stronger one.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-ELA-U2-L1,Write a CER paragraph using two pieces of evidence.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-ELA-U2-L1,Identify a counterargument and explain why your theme is better supported.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-SCI-U2-L1,Create two different water droplet journeys and compare them.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-SCI-U2-L1,Add human impacts such as pavement or dams to a water-cycle model.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-SCI-U2-L1,Explain how drought affects reservoirs and movement.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-SS-U2-L1,Compare two river valley civilizations and identify shared geographic patterns.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-SS-U2-L1,Create a settlement proposal using map evidence.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
BA-G6-SS-U2-L1,"Argue whether geography or technology mattered more, using evidence.",Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-ALG-U1-L1,Compare 3x + 5 and 5x + 3 in a real context.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-ALG-U1-L1,Find two expressions that are equivalent and prove it.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-ALG-U1-L1,Create an expression for a real subscription plan and test it with three values.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-ENG-U3-L1,Write a CER paragraph with a counterclaim sentence.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-ENG-U3-L1,Revise weak evidence into stronger evidence for a claim.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-ENG-U3-L1,Compare two CER paragraphs and score them with a rubric.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-BIO-U2-L1,Compare a plant cell and animal cell as systems.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-BIO-U2-L1,Critique a city analogy for a cell and identify two limitations.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-BIO-U2-L1,Predict effects of a membrane transport problem on cell stability.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-WH-U2-L1,Write a comparative CER paragraph on two river valley civilizations.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-WH-U2-L1,Create a systems map with environmental and political causes.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
SA-G9-WH-U2-L1,Evaluate whether geography or institutions mattered more using evidence.,Unlock at 90+ mastery or teacher/parent assignment; still schedule Memory Vault review.
