lesson_id,memory_id,type,prompt,expected_answer,schedule_days,skill_tag,failure_action,success_action
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-MV01,concept,What does multiplication describe?,Equal groups.,"1,3,7,14,30",MATH.G3.OA.EQUAL_GROUPS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-MV02,vocab,What is a product?,The answer to a multiplication problem.,"1,3,7,14,30",MATH.G3.OA.REPEATED_ADDITION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-MV03,explain,Explain 3 × 4 without using the word “times.”,3 groups of 4.,"1,3,7,14,30",MATH.G3.MODEL_WITH_ARRAYS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-MV04,mistake,Why is 6 × 2 not the same as 6 + 2?,"6 × 2 means 6 groups of 2, not joining 6 and 2 once.","1,3,7,14,30",MATH.G3.PROBLEM_SOLVING.REASONING,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-MV05,apply,Write a real-life example for 5 × 3.,Example: 5 plates with 3 cookies each.,"1,3,7,14,30",MATH.G3.PROBLEM_SOLVING.REASONING,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-MV06,model,Describe an array for 4 × 2.,"4 rows of 2, or another equal-row/column model totaling 8.","1,3,7,14,30",MATH.G3.PROBLEM_SOLVING.REASONING,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-MV01,concept,What is a main idea?,The most important point the text teaches about the topic.,"1,3,7,14,30",ELA.G3.RI.MAIN_IDEA,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-MV02,vocab,What is a key detail?,An important fact that supports the main idea.,"1,3,7,14,30",ELA.G3.RI.KEY_DETAILS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-MV03,contrast,How is topic different from main idea?,Topic is the subject; main idea is the important point about it.,"1,3,7,14,30",ELA.G3.EVIDENCE.TEXT_SUPPORT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-MV04,mistake,Why is “dogs” not a strong main idea by itself?,"It is only a topic, not a complete point.","1,3,7,14,30",ELA.G3.SUMMARY.BASIC,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-MV05,apply,"Given details about water, sunlight, and soil, write a main idea.","Plants need water, sunlight, and soil to grow.","1,3,7,14,30",ELA.G3.SUMMARY.BASIC,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-MV06,evidence,What should support a main idea?,Key details or evidence from the text.,"1,3,7,14,30",ELA.G3.SUMMARY.BASIC,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-MV01,concept,What is a life cycle?,Stages of growth and reproduction.,"1,3,7,14,30",SCI.G3.LIFE_CYCLES.PLANTS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-MV02,vocab,What is germination?,When a seed begins to grow.,"1,3,7,14,30",SCI.G3.PATTERNS.CYCLES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-MV03,sequence,What comes after seedling?,A mature plant.,"1,3,7,14,30",SCI.G3.OBSERVATION.SEQUENCE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-MV04,systems,Why is the plant life cycle a cycle?,New seeds can begin again.,"1,3,7,14,30",SCI.G3.EVIDENCE.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-MV05,evidence,What evidence shows a plant can reproduce?,It makes flowers/seeds/fruit.,"1,3,7,14,30",SCI.G3.EVIDENCE.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-MV06,apply,Name the stage: a young plant with small leaves.,Seedling.,"1,3,7,14,30",SCI.G3.EVIDENCE.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-MV01,concept,What is a community?,"People who live, work, or learn together.","1,3,7,14,30",SS.G3.CIVICS.COMMUNITY_ROLES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-MV02,vocab,What is a role?,A job or responsibility someone has.,"1,3,7,14,30",SS.G3.ECON.NEEDS_SERVICES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-MV03,contrast,Place or role: library?,Place.,"1,3,7,14,30",SS.G3.GEOGRAPHY.LOCAL_COMMUNITY,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-MV04,apply,Name a role that helps with health.,"Doctor, nurse, dentist, paramedic, etc.","1,3,7,14,30",SS.G3.EVIDENCE.EXAMPLES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-MV05,evidence,How can you prove a role helps a community?,Give an example of the need it meets.,"1,3,7,14,30",SS.G3.EVIDENCE.EXAMPLES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-MV06,systems,Why do communities need cooperation?,Different people help meet different needs.,"1,3,7,14,30",SS.G3.EVIDENCE.EXAMPLES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-MV01,concept,What does a ratio compare?,Two quantities.,"1,3,7,14,30",MATH.G6.RP.RATIO_CONCEPT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-MV02,process,How do you make an equivalent ratio?,Multiply or divide both parts by the same factor.,"1,3,7,14,30",MATH.G6.RP.RATIO_LANGUAGE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-MV03,mistake,Why is adding 2 to both parts not ratio scaling?,"Equivalent ratios are multiplicative, not additive.","1,3,7,14,30",MATH.G6.REASONING.REPRESENTATIONS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-MV04,apply,Scale 3:4 by 5.,15:20.,"1,3,7,14,30",MATH.G6.PROBLEM_SOLVING.CONTEXT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-MV05,contrast,What is part-to-whole?,Comparing one part to the total.,"1,3,7,14,30",MATH.G6.PROBLEM_SOLVING.CONTEXT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
