lesson_id,academy,grade,subject_course,lesson_title,lesson_type,signature_features,status
FA-G3-MATH-U1-L1,Foundation,3,Math,Multiplication as Equal Groups,Concept Lesson,"Problem-Solving Lab, Memory Vault",Planned
FA-G3-ELA-U2-L1,Foundation,3,ELA,Finding the Main Idea,Concept Lesson,"Evidence Room, Thinking Cards",Planned
FA-G3-SCI-U1-L1,Foundation,3,Science,Plant Life Cycles,Inquiry Lesson,"Interpretation Lens, Memory Vault",Planned
FA-G3-SS-U1-L1,Foundation,3,Social Studies,Communities and Roles,Concept Lesson,"Discussion Arena, Evidence Room",Planned
BA-G6-MATH-U1-L1,Bridge,6,Math,Understanding Ratios,Concept Lesson,Problem-Solving Lab,Planned
BA-G6-ELA-U2-L1,Bridge,6,ELA,Theme and Text Evidence,Evidence Lesson,Evidence Room,Planned
BA-G6-SCI-U2-L1,Bridge,6,Science,Water Cycle Systems,Systems Lesson,Systems Mapper,Planned
BA-G6-SS-U2-L1,Bridge,6,Social Studies,Ancient Civilizations and Geography,Interpretation Lesson,Interpretation Lens,Planned
SA-G9-ALG-U1-L1,Scholar,9,Algebra I,Variables and Expressions,Concept Lesson,Problem-Solving Lab,Planned
SA-G9-ENG-U3-L1,Scholar,9,English 9,"Claim, Evidence, and Reasoning",Evidence Lesson,Evidence Room,Planned
SA-G9-BIO-U2-L1,Scholar,9,Biology,Cells as Systems,Systems Lesson,Systems Mapper,Planned
SA-G9-WH-U2-L1,Scholar,9,World History I,Early River Valley Civilizations,Source Analysis Lesson,"Interpretation Lens, Evidence Room",Planned
