file,status,v2_improvements,next_review_focus
01_PLATFORM_CURRICULUM_OVERVIEW.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
02_ACADEMY_SYLLABI_INDEX.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
03_K12_SCOPE_AND_SEQUENCE.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
04_SUBJECT_SCOPE_AND_SEQUENCE.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
05_GRADE_LEVEL_SYLLABI_INDEX.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
06_COURSE_SYLLABI_INDEX.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
07_UNIT_MAPS_INDEX.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
08_LESSON_INVENTORY.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
09_ASSESSMENT_MAP.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
10_PROJECT_AND_CAPSTONE_MAP.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
11_MEMORY_VAULT_REVIEW_MAP.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
12_THINKING_SKILLS_ACTIVITY_MAP.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
13_STANDARDS_ALIGNMENT_MAP.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
14_VOCABULARY_AND_CONCEPT_BANK.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
15_QUESTION_BANK_INDEX.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
16_RUBRIC_LIBRARY_INDEX.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
17_RETEACH_AND_INTERVENTION_MAP.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
18_CHALLENGE_AND_ENRICHMENT_MAP.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
19_PARENT_TEACHER_GUIDE_INDEX.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
20_MVP_CONTENT_PRODUCTION_PLAN.md,review-ready,expanded production-control documentation,human curriculum review and lesson alignment
