lesson_id,misconception,simple_explanation,reteach_step_count,practice_prompt,practice_answer,exit_criteria
FA-G3-MATH-U1-L1,Student adds the two factors instead of forming equal groups.,"Multiplication asks two questions: how many groups, and how many in each group?",5,2 groups of 3 = ?,6,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-MATH-U1-L1,Student adds the two factors instead of forming equal groups.,"Multiplication asks two questions: how many groups, and how many in each group?",5,3 + 3 + 3 + 3 as multiplication,4 × 3,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-MATH-U1-L1,Student adds the two factors instead of forming equal groups.,"Multiplication asks two questions: how many groups, and how many in each group?",5,4 groups of 2 = ?,8,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-MATH-U1-L1,Student adds the two factors instead of forming equal groups.,"Multiplication asks two questions: how many groups, and how many in each group?",5,"Which is equal groups: 2,2,2 or 2,3,2?","2,2,2",Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-MATH-U1-L1,Student adds the two factors instead of forming equal groups.,"Multiplication asks two questions: how many groups, and how many in each group?",5,Fix: 5 × 3 = 8,5 × 3 = 15,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-ELA-U2-L1,Student confuses a topic or interesting detail with the main idea.,A topic names the subject. A main idea says the big point about that subject.,5,Topic or main idea: “sharks”,Topic,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-ELA-U2-L1,Student confuses a topic or interesting detail with the main idea.,A topic names the subject. A main idea says the big point about that subject.,5,Topic or main idea: “Sharks have special body parts that help them hunt.”,Main idea,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-ELA-U2-L1,Student confuses a topic or interesting detail with the main idea.,A topic names the subject. A main idea says the big point about that subject.,5,Choose a key detail for “Plants need care.”,Plants need water.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-ELA-U2-L1,Student confuses a topic or interesting detail with the main idea.,A topic names the subject. A main idea says the big point about that subject.,5,Fix: Main idea = “sunlight” for a plant-growth passage,"Plants need sunlight, water, and soil to grow.",Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-ELA-U2-L1,Student confuses a topic or interesting detail with the main idea.,A topic names the subject. A main idea says the big point about that subject.,5,What proves a main idea?,Key details/evidence,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SCI-U1-L1,Student treats the life cycle as a straight line and skips reproduction/new seeds.,A cycle repeats. New seeds are what let the pattern begin again.,5,First stage?,Seed,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SCI-U1-L1,Student treats the life cycle as a straight line and skips reproduction/new seeds.,A cycle repeats. New seeds are what let the pattern begin again.,5,Seed begins to grow = ?,Germination,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SCI-U1-L1,Student treats the life cycle as a straight line and skips reproduction/new seeds.,A cycle repeats. New seeds are what let the pattern begin again.,5,Young plant = ?,Seedling,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SCI-U1-L1,Student treats the life cycle as a straight line and skips reproduction/new seeds.,A cycle repeats. New seeds are what let the pattern begin again.,5,What lets the cycle repeat?,New seeds,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SCI-U1-L1,Student treats the life cycle as a straight line and skips reproduction/new seeds.,A cycle repeats. New seeds are what let the pattern begin again.,5,Fix: seed → flower → seedling,seed → germination → seedling → mature plant/flower,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SS-U1-L1,Student confuses places with roles or thinks only paid workers help communities.,A place is where something happens. A role is what someone does to help.,5,Place or role: school,Place,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SS-U1-L1,Student confuses places with roles or thinks only paid workers help communities.,A place is where something happens. A role is what someone does to help.,5,Place or role: teacher,Role,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SS-U1-L1,Student confuses places with roles or thinks only paid workers help communities.,A place is where something happens. A role is what someone does to help.,5,Need met by doctor?,Health,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SS-U1-L1,Student confuses places with roles or thinks only paid workers help communities.,A place is where something happens. A role is what someone does to help.,5,One student responsibility,Follow rules/help others,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
FA-G3-SS-U1-L1,Student confuses places with roles or thinks only paid workers help communities.,A place is where something happens. A role is what someone does to help.,5,Fix: “Library is a role.”,Library is a place; librarian is a role.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-MATH-U1-L1,Student uses additive comparison instead of multiplicative ratio reasoning.,Equivalent ratios keep the same relationship by multiplying or dividing both parts by the same number.,5,Scale 1:3 by 2,2:6,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-MATH-U1-L1,Student uses additive comparison instead of multiplicative ratio reasoning.,Equivalent ratios keep the same relationship by multiplying or dividing both parts by the same number.,5,Simplify 6:12,1:2,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-MATH-U1-L1,Student uses additive comparison instead of multiplicative ratio reasoning.,Equivalent ratios keep the same relationship by multiplying or dividing both parts by the same number.,5,Equivalent to 2:5: 4:10 or 4:7?,4:10,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
