artifact,type,priority,notes
Grade 3 Full-Year Syllabus,Syllabus,High,Draft detailed grade syllabus
Grade 6 Full-Year Syllabus,Syllabus,High,Draft detailed grade syllabus
Grade 9 Full-Year Syllabus,Syllabus,High,Draft detailed grade syllabus
Multiplication as Equal Groups,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Finding the Main Idea,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Plant Life Cycles,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Communities and Roles,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Understanding Ratios,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Theme and Text Evidence,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Water Cycle Systems,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Ancient Civilizations and Geography,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Variables and Expressions,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
"Claim, Evidence, and Reasoning",Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Cells as Systems,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Early River Valley Civilizations,Seed Lesson,High,"Create full lesson, quiz, review items, reteach/challenge"
Question bank for 12 seed lessons,Content Support,High,Required for MVP vertical slice
Memory Vault item bank for 12 seed lessons,Content Support,High,Required for MVP vertical slice
Reteach paths for 12 seed lessons,Content Support,High,Required for MVP vertical slice
Challenge paths for 12 seed lessons,Content Support,High,Required for MVP vertical slice
Rubric library MVP,Content Support,High,Required for MVP vertical slice
Parent/Teacher notes MVP,Content Support,High,Required for MVP vertical slice
