course,unit_number,unit_title,priority,notes
Grade 3 Math,1,Multiplication Foundations,MVP,Draft unit map target
Grade 3 Math,2,Division Foundations,MVP,Draft unit map target
Grade 3 Math,3,Fractions as Equal Parts,MVP,Draft unit map target
Grade 3 Math,4,Area and Perimeter,MVP,Draft unit map target
Grade 3 Math,5,"Time, Measurement, and Data",MVP,Draft unit map target
Grade 3 Math,6,Geometry and Shape Reasoning,MVP,Draft unit map target
Grade 3 Math,7,Word Problems and Multi-Step Reasoning,MVP,Draft unit map target
Grade 3 Math,8,"Review, Projects, and Mastery Challenges",MVP,Draft unit map target
Grade 3 ELA,1,Building Reading Stamina,MVP,Draft unit map target
Grade 3 ELA,2,Main Idea and Details,MVP,Draft unit map target
Grade 3 ELA,3,Characters and Theme,MVP,Draft unit map target
Grade 3 ELA,4,Nonfiction Text Features,MVP,Draft unit map target
Grade 3 ELA,5,Vocabulary in Context,MVP,Draft unit map target
Grade 3 ELA,6,Writing About Reading,MVP,Draft unit map target
Grade 3 ELA,7,Research Basics,MVP,Draft unit map target
Grade 3 ELA,8,Cumulative Reading Project,MVP,Draft unit map target
Grade 3 Science,1,Plant Life Cycles,MVP,Draft unit map target
Grade 3 Science,2,Animal Traits and Habitats,MVP,Draft unit map target
Grade 3 Science,3,Weather and Climate,MVP,Draft unit map target
Grade 3 Science,4,Forces and Motion,MVP,Draft unit map target
Grade 3 Science,5,Ecosystems and Food Chains,MVP,Draft unit map target
Grade 3 Science,6,Engineering Design,MVP,Draft unit map target
Grade 3 Science,7,Science Evidence Project,MVP,Draft unit map target
Grade 3 Social Studies,1,Communities and Roles,MVP,Draft unit map target
Grade 3 Social Studies,2,Maps and Regions,MVP,Draft unit map target
Grade 3 Social Studies,3,Local Government and Citizenship,MVP,Draft unit map target
Grade 3 Social Studies,4,"Goods, Services, and Economy",MVP,Draft unit map target
Grade 3 Social Studies,5,Culture and Traditions,MVP,Draft unit map target
Grade 3 Social Studies,6,Community Problem Project,MVP,Draft unit map target
Grade 6 Math,1,Ratios and Rates,MVP,Draft unit map target
Grade 6 Math,2,Fraction and Decimal Operations,MVP,Draft unit map target
Grade 6 Math,3,Negative Numbers and the Number Line,MVP,Draft unit map target
Grade 6 Math,4,Expressions and Equations,MVP,Draft unit map target
Grade 6 Math,5,Geometry and Measurement,MVP,Draft unit map target
Grade 6 Math,6,Statistics and Data,MVP,Draft unit map target
Grade 6 Math,7,Problem-Solving Lab,MVP,Draft unit map target
Grade 6 Math,8,Cumulative Review and Mastery,MVP,Draft unit map target
Grade 6 ELA,1,Reading Identity and Evidence,MVP,Draft unit map target
Grade 6 ELA,2,Theme and Character Analysis,MVP,Draft unit map target
Grade 6 ELA,3,Central Idea in Nonfiction,MVP,Draft unit map target
Grade 6 ELA,4,Argument and Claims,MVP,Draft unit map target
Grade 6 ELA,5,Research and Sources,MVP,Draft unit map target
Grade 6 ELA,6,Poetry and Figurative Language,MVP,Draft unit map target
Grade 6 ELA,7,Discussion and Debate,MVP,Draft unit map target
Grade 6 ELA,8,Portfolio Project,MVP,Draft unit map target
Grade 6 Science,1,Earth Systems,MVP,Draft unit map target
Grade 6 Science,2,Water Cycle Systems,MVP,Draft unit map target
Grade 6 Science,3,Weather and Climate,MVP,Draft unit map target
Grade 6 Science,4,Ecosystems and Energy Flow,MVP,Draft unit map target
Grade 6 Science,5,Human Impact,MVP,Draft unit map target
Grade 6 Science,6,Engineering Solutions,MVP,Draft unit map target
Grade 6 Science,7,Science Investigation Project,MVP,Draft unit map target
Grade 6 Social Studies,1,Geography Foundations,MVP,Draft unit map target
Grade 6 Social Studies,2,Mesopotamia,MVP,Draft unit map target
Grade 6 Social Studies,3,Ancient Egypt,MVP,Draft unit map target
Grade 6 Social Studies,4,Ancient India,MVP,Draft unit map target
Grade 6 Social Studies,5,Ancient China,MVP,Draft unit map target
Grade 6 Social Studies,6,Ancient Greece,MVP,Draft unit map target
Grade 6 Social Studies,7,Ancient Rome,MVP,Draft unit map target
Grade 6 Social Studies,8,Civilization Comparison Project,MVP,Draft unit map target
Grade 9 Algebra I,1,"Expressions, Variables, and Structure",MVP,Draft unit map target
Grade 9 Algebra I,2,Linear Equations,MVP,Draft unit map target
Grade 9 Algebra I,3,Inequalities,MVP,Draft unit map target
Grade 9 Algebra I,4,Functions,MVP,Draft unit map target
Grade 9 Algebra I,5,Graphing Linear Relationships,MVP,Draft unit map target
Grade 9 Algebra I,6,Systems of Equations,MVP,Draft unit map target
Grade 9 Algebra I,7,Exponents and Polynomials,MVP,Draft unit map target
Grade 9 Algebra I,8,Quadratics Introduction,MVP,Draft unit map target
Grade 9 Algebra I,9,Algebra Problem-Solving Capstone,MVP,Draft unit map target
English 9,1,Reading Closely,MVP,Draft unit map target
English 9,2,Short Stories and Theme,MVP,Draft unit map target
English 9,3,"Claim, Evidence, and Reasoning",MVP,Draft unit map target
English 9,4,Poetry and Figurative Language,MVP,Draft unit map target
English 9,5,Drama and Dialogue,MVP,Draft unit map target
English 9,6,Research and Source Evaluation,MVP,Draft unit map target
English 9,7,Argument Essay,MVP,Draft unit map target
English 9,8,Literary Analysis Portfolio,MVP,Draft unit map target
Biology,1,Science Practices and Evidence,MVP,Draft unit map target
Biology,2,Cells as Systems,MVP,Draft unit map target
Biology,3,Cell Transport and Energy,MVP,Draft unit map target
Biology,4,DNA and Genetics,MVP,Draft unit map target
Biology,5,Evolution and Natural Selection,MVP,Draft unit map target
Biology,6,Ecology and Energy Flow,MVP,Draft unit map target
Biology,7,Human Body Systems,MVP,Draft unit map target
Biology,8,Biology Investigation Project,MVP,Draft unit map target
World History I,1,Historical Thinking and Evidence,MVP,Draft unit map target
World History I,2,Early River Valley Civilizations,MVP,Draft unit map target
World History I,3,Classical India and China,MVP,Draft unit map target
World History I,4,Ancient Greece,MVP,Draft unit map target
World History I,5,Ancient Rome,MVP,Draft unit map target
World History I,6,World Religions Foundations,MVP,Draft unit map target
World History I,7,Trade and Cultural Exchange,MVP,Draft unit map target
World History I,8,Civilization Evidence Project,MVP,Draft unit map target
