doc,title,v2_improvement_items,line_count,status,next_review
docs/01_PRODUCT_BIBLE.md,01 — Product Bible,6,340,Expanded v2,Content owner review before implementation
docs/02_CORE_PILLARS.md,02 — Core Pillars,6,505,Expanded v2,Content owner review before implementation
docs/03_LEARNING_SCIENCE_CORE.md,03 — Learning Science Core,6,342,Expanded v2,Content owner review before implementation
docs/04_THINKING_SKILLS_FRAMEWORK.md,04 — Thinking Skills Framework,6,372,Expanded v2,Content owner review before implementation
docs/05_PRIVACY_AND_CHILD_SAFETY.md,05 — Privacy and Child Safety,6,291,Expanded v2,Content owner review before implementation
docs/06_ACCESSIBILITY_PLAN.md,06 — Accessibility Plan,6,244,Expanded v2,Content owner review before implementation
docs/07_STANDARDS_MAP.md,07 — Standards Map,6,268,Expanded v2,Content owner review before implementation
docs/08_CURRICULUM_ARCHITECTURE.md,08 — Curriculum Architecture,6,346,Expanded v2,Content owner review before implementation
docs/09_LESSON_TEMPLATE_SPEC.md,09 — Lesson Template Specification,6,296,Expanded v2,Content owner review before implementation
docs/10_ASSESSMENT_AND_MASTERY_MODEL.md,10 — Assessment and Mastery Model,6,236,Expanded v2,Content owner review before implementation
docs/11_RETENTION_ENGINE_SPEC.md,11 — Retention Engine Specification,6,250,Expanded v2,Content owner review before implementation
docs/12_ADAPTIVE_LEARNING_RULES.md,12 — Adaptive Learning Rules,6,245,Expanded v2,Content owner review before implementation
docs/13_GAMIFICATION_AND_MOTIVATION.md,13 — Gamification and Motivation,6,280,Expanded v2,Content owner review before implementation
docs/14_FEATURE_MAP.md,14 — Feature Map,6,294,Expanded v2,Content owner review before implementation
docs/15_MVP_SCOPE.md,15 — MVP Scope,6,211,Expanded v2,Content owner review before implementation
docs/16_DATA_MODEL_SPEC.md,16 — Data Model Specification,6,391,Expanded v2,Content owner review before implementation
docs/17_CONTENT_AUTHORING_GUIDE.md,17 — Content Authoring Guide,6,281,Expanded v2,Content owner review before implementation
docs/18_AI_TUTOR_POLICY.md,18 — AI Tutor Policy,6,244,Expanded v2,Content owner review before implementation
docs/19_TECH_STACK_DECISION.md,19 — Tech Stack Decision,6,214,Expanded v2,Content owner review before implementation
docs/20_ROLES_AND_PERMISSIONS.md,20 — Roles and Permissions,6,254,Expanded v2,Content owner review before implementation
docs/21_BUILD_SEQUENCE.md,21 — Build Sequence,6,252,Expanded v2,Content owner review before implementation
